recency_candidate_id,model_id,season,season_label,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one,nonlinear_model_backend,nonlinear_model_style,is_synthetic,data_source
single,blend_top2_validated__elo_form_tuned__weighted_calibrated,20222023,2022-2023,1312,0.59375,0.665886,0.236637,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top2_validated__elo_form_tuned__weighted_calibrated,20232024,2023-2024,1312,0.58003,0.671073,0.239222,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top2_validated__logistic_engineered__elo_form_tuned,20242025,2024-2025,1312,0.599848,0.655871,0.232197,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top2_validated__logistic_engineered__elo_form_tuned,20252026,2025-2026,1312,0.561738,0.673006,0.240452,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top2_validated__nonlinear_tree__logistic_engineered,20172018,2017-2018,468,0.517094,0.754056,0.274762,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
single,blend_top2_validated__weighted_calibrated__elo_form_tuned,20212022,2021-2022,1312,0.612805,0.678999,0.241921,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top3_fixed_50_30_20__elo_form_tuned__weighted_calibrated__logistic_engineered,20222023,2022-2023,1312,0.603659,0.664085,0.235749,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top3_fixed_50_30_20__elo_form_tuned__weighted_calibrated__logistic_engineered,20232024,2023-2024,1312,0.589177,0.666778,0.237167,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top3_fixed_50_30_20__logistic_engineered__elo_form_tuned__weighted_calibrated,20242025,2024-2025,1312,0.602134,0.657036,0.232608,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,blend_top3_fixed_50_30_20__logistic_engineered__elo_form_tuned__weighted_calibrated,20252026,2025-2026,1312,0.570122,0.675955,0.241685,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
