season,game_id,game_date,home_team_abbrev,away_team_abbrev,home_pregame_streak_signed,away_pregame_streak_signed,home_pregame_last10_points_pct,away_pregame_last10_points_pct,home_pregame_last10_goal_diff_pg,away_pregame_last10_goal_diff_pg,home_pregame_season_points_pct,away_pregame_season_points_pct,home_pregame_season_goal_diff_pg,away_pregame_season_goal_diff_pg,home_pregame_home_points_pct,away_pregame_road_points_pct,home_pregame_rest_days,away_pregame_rest_days,home_back_to_back,away_back_to_back,home_three_in_four,away_three_in_four,home_four_in_six,away_four_in_six,home_pregame_travel_miles,away_pregame_travel_miles,delta_travel_miles_home_minus_away,home_timezone_shift_hours,away_timezone_shift_hours,delta_timezone_shift_hours_home_minus_away,home_pregame_home_stand_len,away_pregame_home_stand_len,home_pregame_road_trip_len,away_pregame_road_trip_len,delta_home_stand_len_home_minus_away,delta_road_trip_len_home_minus_away,rest_days_delta_home_minus_away,home_location_edge_points_pct,home_prior_prev_season_points_pct,away_prior_prev_season_points_pct,home_prior_prev_season_goal_diff_pg,away_prior_prev_season_goal_diff_pg,home_prior_prev_season_games,away_prior_prev_season_games,delta_pregame_last10_points_pct_home_minus_away,delta_pregame_last10_goal_diff_pg_home_minus_away,delta_pregame_season_points_pct_home_minus_away,delta_pregame_season_goal_diff_pg_home_minus_away,home_win,winner_abbrev
20212022,2021020033,2021-10-16,SJS,WPG,0,-1,,0.0,,-3.0,,0.0,,-3.0,,0.0,,2,0,0,0,0,0,0,,332.3059968321523,,,0.0,,1,0,0,2,1,-2,,,,,,,0,0,,,,,1,SJS
20212022,2021020034,2021-10-17,OTT,DAL,-1,-1,0.5,0.5,-0.5,-0.5,0.5,0.5,-0.5,-0.5,1.0,0.5,0,0,1,1,1,1,0,0,204.95457786499026,315.814358561485,-110.85978069649474,0.0,0.0,0.0,1,0,0,3,1,-3,0,0.5,,,,,0,0,0.0,0.0,0.0,0.0,1,OTT
20212022,2021020035,2021-10-18,TOR,NYR,1,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,-1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,-1.0,1.0,0.5,1,1,0,0,0,0,1,1,0.0,313.20766510785995,-313.20766510785995,0.0,0.0,0.0,2,0,0,2,2,-2,0,0.5,,,,,0,0,0.3333333333333333,1.6666666666666665,0.3333333333333333,1.6666666666666665,0,NYR
20212022,2021020036,2021-10-18,PHI,SEA,-1,-1,0.0,0.3333333333333333,-1.0,-0.3333333333333333,0.0,0.3333333333333333,-1.0,-0.3333333333333333,0.0,0.3333333333333333,2,1,0,0,0,0,0,0,0.0,414.9456186233956,-414.9456186233956,0.0,0.0,0.0,2,0,0,4,2,-4,1,-0.3333333333333333,,,,,0,0,-0.3333333333333333,-0.6666666666666667,-0.3333333333333333,-0.6666666666666667,1,PHI
20212022,2021020037,2021-10-18,CGY,ANA,-1,-1,0.0,0.5,-3.0,1.0,0.0,0.5,-3.0,1.0,,,1,2,0,0,0,0,0,0,174.95843682933852,1205.906596867122,-1030.9481600377835,0.0,1.0,-1.0,1,0,0,1,1,-1,-1,,,,,,0,0,-0.5,-4.0,-0.5,-4.0,0,ANA
20212022,2021020038,2021-10-18,UTA,STL,-2,1,0.0,1.0,-3.5,2.0,0.0,1.0,-3.5,2.0,,1.0,1,1,0,0,0,0,0,0,1902.7075602938187,585.4172106594281,1317.2903496343906,-3.0,-1.0,-2.0,1,0,0,2,1,-2,0,,,,,,0,0,-1.0,-5.5,-1.0,-5.5,0,STL
20212022,2021020039,2021-10-19,BUF,VAN,2,-1,1.0,0.3333333333333333,2.5,-0.6666666666666666,1.0,0.3333333333333333,2.5,-0.6666666666666666,1.0,0.3333333333333333,2,2,0,0,0,0,0,0,0.0,215.63610485383757,-215.63610485383757,0.0,0.0,0.0,3,0,0,4,3,-4,0,0.6666666666666667,,,,,0,0,0.6666666666666667,3.1666666666666665,0.6666666666666667,3.1666666666666665,1,BUF
20212022,2021020040,2021-10-19,MTL,SJS,-3,1,0.0,1.0,-2.3333333333333335,1.0,0.0,1.0,-2.3333333333333335,1.0,0.0,,2,2,0,0,0,0,0,0,0.0,2527.262250261903,-2527.262250261903,0.0,3.0,-3.0,2,0,0,1,2,-1,0,,,,,,0,0,-1.0,-3.3333333333333335,-1.0,-3.3333333333333335,0,SJS
20212022,2021020041,2021-10-19,DET,CBJ,1,2,0.5,1.0,0.5,3.5,0.5,1.0,0.5,3.5,0.5,,2,2,0,0,0,0,0,0,0.0,163.9160701414876,-163.9160701414876,0.0,0.0,0.0,3,0,0,1,3,-1,0,,,,,,0,0,-0.5,-3.0,-0.5,-3.0,1,DET
20212022,2021020042,2021-10-19,TBL,FLA,2,2,0.6666666666666666,1.0,-0.6666666666666666,2.5,0.6666666666666666,1.0,-0.6666666666666666,2.5,0.0,,2,2,0,0,0,0,0,0,818.7459706042087,179.75619622881382,638.9897743753949,0.0,0.0,0.0,1,0,0,1,1,-1,0,,,,,,0,0,-0.33333333333333337,-3.1666666666666665,-0.33333333333333337,-3.1666666666666665,0,FLA
20212022,2021020043,2021-10-19,NJD,SEA,1,-2,1.0,0.25,1.0,-1.5,1.0,0.25,1.0,-1.5,1.0,0.25,3,0,0,1,0,1,0,1,0.0,78.02038745485632,-78.02038745485632,0.0,0.0,0.0,2,0,0,5,2,-5,3,0.75,,,,,0,0,0.75,2.5,0.75,2.5,1,NJD
20212022,2021020044,2021-10-19,PIT,DAL,1,-2,0.6666666666666666,0.3333333333333333,2.0,-0.6666666666666666,0.6666666666666666,0.3333333333333333,2.0,-0.6666666666666666,1.0,0.3333333333333333,2,1,0,0,0,1,0,1,0.0,393.5453310697364,-393.5453310697364,0.0,0.0,0.0,2,0,0,4,2,-4,1,0.6666666666666667,,,,,0,0,0.3333333333333333,2.6666666666666665,0.3333333333333333,2.6666666666666665,0,DAL
20212022,2021020045,2021-10-19,WSH,COL,-1,-1,0.5,0.5,1.5,0.0,0.5,0.5,1.5,0.0,0.5,,2,2,0,0,0,0,0,0,0.0,1490.9438710768902,-1490.9438710768902,0.0,2.0,-2.0,3,0,0,1,3,-1,0,,,,,,0,0,0.0,1.5,0.0,1.5,1,WSH
20212022,2021020046,2021-10-19,CHI,NYI,-3,-2,0.0,0.0,-2.0,-3.5,0.0,0.0,-2.0,-3.5,,0.0,2,2,0,0,0,0,0,0,411.8182075934328,1163.806819349309,-751.9886117558763,-1.0,-1.0,0.0,1,0,0,3,1,-3,0,,,,,,0,0,0.0,1.5,0.0,1.5,0,NYI
20212022,2021020047,2021-10-19,NSH,LAK,-2,-1,0.0,0.5,-1.0,1.5,0.0,0.5,-1.0,1.5,0.0,,2,2,0,0,0,0,0,0,0.0,1778.217795579269,-1778.217795579269,0.0,2.0,-2.0,3,0,0,1,3,-1,0,,,,,,0,0,-0.5,-2.5,-0.5,-2.5,1,NSH
20212022,2021020048,2021-10-19,MIN,WPG,2,-2,1.0,0.0,1.0,-2.0,1.0,0.0,1.0,-2.0,,0.0,2,2,0,0,0,0,0,0,1529.5483326289864,1578.2633534638112,-48.71502083482483,2.0,2.0,0.0,1,0,0,3,1,-3,0,,,,,,0,0,1.0,3.0,1.0,3.0,1,MIN
20212022,2021020049,2021-10-19,EDM,ANA,2,1,1.0,0.6666666666666666,2.0,1.0,1.0,0.6666666666666666,2.0,1.0,1.0,1.0,2,0,0,1,0,0,0,0,0.0,174.95843682933852,-174.95843682933852,0.0,0.0,0.0,3,0,0,2,3,-2,2,0.0,,,,,0,0,0.33333333333333337,1.0,0.33333333333333337,1.0,1,EDM
20212022,2021020050,2021-10-20,PHI,BOS,1,1,0.5,1.0,2.0,2.0,0.5,1.0,2.0,2.0,0.5,,1,3,0,0,0,0,0,0,0.0,273.3479723751971,-273.3479723751971,0.0,0.0,0.0,3,0,0,1,3,-1,-2,,,,,,0,0,-0.5,0.0,-0.5,0.0,1,PHI
